symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
AMZN,1018724,0001018724-23-000006,2023-04-27,2023-04-27,2023-04-27 16:10:37,AMC,2023-04-28,2023-04-27T20:10:37.000Z,tak
AAPL,320193,0000320193-23-000063,2023-05-04,2023-05-04,2023-05-04 16:30:43,AMC,2023-05-05,2023-05-04T20:30:43.000Z,tak
NVDA,1045810,0001045810-23-000087,2023-05-24,2023-05-24,2023-05-24 16:22:18,AMC,2023-05-25,2023-05-24T20:22:18.000Z,tak
AVGO,1730168,0001730168-23-000062,2023-06-01,2023-06-01,2023-06-01 16:17:30,AMC,2023-06-02,2023-06-01T20:17:30.000Z,tak
TSLA,1318605,0000950170-23-031241,2023-07-02,2023-07-03,2023-07-03 06:05:58,BMO,2023-07-03,2023-07-03T10:05:58.000Z,tak
TSLA,1318605,0000950170-23-033544,2023-07-19,2023-07-19,2023-07-19 16:46:20,AMC,2023-07-20,2023-07-19T20:46:20.000Z,tak
GOOGL,1652044,0001652044-23-000067,2023-07-20,2023-07-25,2023-07-25 16:01:21,AMC,2023-07-26,2023-07-25T20:01:21.000Z,tak
MSFT,789019,0000950170-23-034400,2023-07-25,2023-07-25,2023-07-25 16:02:47,AMC,2023-07-26,2023-07-25T16:02:47.000Z,NIE
META,1326801,0001326801-23-000089,2023-07-26,2023-07-26,2023-07-26 16:06:51,AMC,2023-07-27,2023-07-26T20:06:51.000Z,tak
AMZN,1018724,0001018724-23-000010,2023-08-03,2023-08-03,2023-08-03 16:09:02,AMC,2023-08-04,2023-08-03T20:09:02.000Z,tak
AAPL,320193,0000320193-23-000075,2023-08-03,2023-08-03,2023-08-03 16:30:21,AMC,2023-08-04,2023-08-03T20:30:21.000Z,tak
NVDA,1045810,0001045810-23-000171,2023-08-23,2023-08-23,2023-08-23 16:21:42,AMC,2023-08-24,2023-08-23T20:21:42.000Z,tak
